Date,"Clube de Regatas do Flamengo"
2015-07,69072
2015-08,69949
2015-09,61722
2015-10,40512
2015-11,45647
2015-12,57336
2016-01,79691
2016-02,46675
2016-03,41254
2016-04,43677
2016-05,60232
2016-06,56094
2016-07,76378
2016-08,55316
2016-09,75727
2016-10,53178
2016-11,61076
2016-12,60771
2017-01,77347
2017-02,59176
2017-03,62543
2017-04,55906
2017-05,77025
2017-06,63167
2017-07,72880
2017-08,62283
2017-09,49985
2017-10,52996
2017-11,73649
2017-12,67826
2018-01,60969
2018-02,49926
2018-03,53037
2018-04,60224
2018-05,63049
2018-06,63509
2018-07,70716
2018-08,89408
2018-09,57759
2018-10,51039
2018-11,76580
2018-12,54160
2019-01,88275
2019-02,58963
2019-03,57367
2019-04,87064
2019-05,73407
2019-06,71550
2019-07,83091
2019-08,112391
2019-09,117980
2019-10,214764
2019-11,723678
2019-12,327532
2020-01,124739
2020-02,157318
2020-03,101737
2020-04,60206
2020-05,60186
2020-06,56680
2020-07,123368
2020-08,128023
2020-09,112719
2020-10,114243
2020-11,126650
2020-12,81684
2021-01,91821
2021-02,184428
2021-03,93632
2021-04,106094
2021-05,107696
2021-06,58860
2021-07,111223
2021-08,131044
2021-09,106213
2021-10,113030
2021-11,173444
2021-12,100258
2022-01,65965
2022-02,122394
2022-03,73660
2022-04,91765
2022-05,71367
2022-06,83855
2022-07,118668
2022-08,141472
2022-09,116952
2022-10,185580
2022-11,113358
2022-12,64709
2023-01,103489
2023-02,102091
2023-03,93261
2023-04,121184
2023-05,101953
2023-06,97623
2023-07,116257
2023-08,120808
2023-09,99467
2023-10,83188
2023-11,218761
2023-12,104527
2024-01,69265
2024-02,64194
2024-03,74538
2024-04,95080
2024-05,65130
2024-06,48389
2024-07,46437
2024-08,53560
2024-09,45502
2024-10,48008
2024-11,84352
2024-12,70985
2025-01,51540
2025-02,60178
2025-03,68211
2025-04,55364
